Name,Size, Dashboard Code,Include/Exclude,Segment Category,Segment Frequency,Segment Time Period,Segment Name,Segment Description
Arts & Entertainment - Gone Fishing Fans (O & All time),32054,Permutive is 14307,Include,Arts & Entertainment,Occasional,All Time,Gone Fishing  content fans,We define these users as those who regularly browse Gone Fishing content
Arts & Entertainment - History Extra Reading Fans (O & All Time),62,Permutive is 122084,Include,Arts & Entertainment,Occasional,All Time,History Extra Reading  fans,"We define these users as those who occassinoally browse the ""Reading List"" on History Extra website"
Arts & Entertainment - History TV fans (R & All Time),1207729,Permutive is 31100,Include,Arts & Entertainment,Regular,All Time,History TV fans content fans,We define these users as those who regularly browse History TV content
Arts & Entertainment - ITV Hub (O & All Time),4713,Permutive is 28402,Include,Arts & Entertainment,Occasional,All Time,ITV Hub content fans,We define these users as those who regularly browse ITV Hub content
Arts & Entertainment - Live Sports Events (R & All time),313174,Permutive is 116910,Include,Arts & Entertainment,Regular,All Time,Live Sports Events content fans,We define these users as those who regularly browse live sports events content across our websites
Arts & Entertainment - Love Island (O & All time),1244690,Permutive is 7671,Include,Arts & Entertainment,Occasional,All Time,Love Island content fans,We define these users as those who regularly browse Love Island content
Arts & Entertainment - Mamma Mia (O & All time),259,Permutive is 7564,Include,Arts & Entertainment,Occasional,All Time,Mamma Mia content fans,We define these users as those who regularly browse Mamma Mia content
Arts & Entertainment - Marvel (O & All time),2195910,Permutive is 9706,Include,Arts & Entertainment,Occasional,All Time,Marvel content fans,We define these users as those who regularly browse Marvel content
Arts & Entertainment - Motorsport (O & All Time),530892,Permutive is 61601,Include,Arts & Entertainment,Occasional,All Time,Motorsport content fans,We define these users as those who regularly browse Motorsport content
Arts & Entertainment - Musicals (O & All Time),4886498,Permutive is 28324,Include,Arts & Entertainment,Occasional,All Time,Musicals content fans,We define these users as those who regularly browse Musicals content
Arts & Entertainment - Netflix (O & All time),4655476,Permutive is 7737,Include,Arts & Entertainment,Occasional,All Time,Netflix content fans,We define these users as those who regularly browse Netflix content
Arts & Entertainment - On Demand & Listings (R & All time),59985,Permutive is 6868,Include,Arts & Entertainment,Regular,All Time,On Demand & Listings content fans,We define these users as those who regularly browse On Demand & listings content
Arts & Entertainment - On Demand fans & listings (O & All time),121189,Permutive is 6874,Include,Arts & Entertainment,Occasional,All Time,On Demand fans & listings content fans,We define these users as those who regularly browse On Demand & listings content
Arts & Entertainment - On Demand fans (O & All time).,5169976,Permutive is 13436,Include,Arts & Entertainment,Occasional,All Time,On Demand fans content fans,We define these users as those who regularly browse On Demand content
Arts & Entertainment - Period Drama Fans (O & All time),797020,Permutive is 6885,Include,Arts & Entertainment,Occasional,All Time,Period Drama  content fans,We define these users as those who regularly browse Period Drama content
Arts & Entertainment - Queen's Jubilee (R & All Time),156290,Permutive is 101057,Include,Arts & Entertainment,Regular,All Time,Queen's Jubilee content fans,We define these users as those regularly browsing for Queen's Jubilee content across our websites
Arts & Entertainment - Radio 1 fans (O & all time),19614,Permutive is 7530,Include,Arts & Entertainment,Occasional,All Time,Radio 1 fans content fans,We define these users as those who regularly browse Radio 1 content
Arts & Entertainment - Radio Fans (O & all time),200252,Permutive is 7531,Include,Arts & Entertainment,Occasional,All Time,Radio  content fans,We define these users as those who regularly browse Radio content
Arts & Entertainment - Radiotimes Fans (O & All time),47886205,Permutive is 6246,Include,Arts & Entertainment,Occasional,All Time,Radiotimes  users,We define these users as those who regularly browse Radio Times content
Arts & Entertainment - Real life based TV Shows (O & All Time),1287334,Permutive is 31554,Include,Arts & Entertainment,Occasional,All Time,Real life based TV Shows content fans,We define these users as those who regularly browse Real life based TV Shows content
Arts & Entertainment - Romans (O & All time),1310251,Permutive is 8052,Include,Arts & Entertainment,Occasional,All Time,Romans content fans,We define these users as those who regularly browse Romans content
Arts & Entertainment - RT Listings (R & All time),1703268,Permutive is 23285,Include,Arts & Entertainment,Regular,All Time,RT Listings content fans,We define these users as those who regularly browse RT Listings content
Arts & Entertainment - Sci-fi (O & All Time),72347593,Permutive is 28286,Include,Arts & Entertainment,Occasional,All Time,Sci-fi content fans,We define these users as those who regularly browse Sci-fi content
Arts & Entertainment - Sky (O & All time),193063,Permutive is 8314,Include,Arts & Entertainment,Occasional,All Time,Sky content fans,We define these users as those who regularly browse Sky content
Arts & Entertainment - Soaps (O & All time),2787628,Permutive is 6161,Include,Arts & Entertainment,Occasional,All Time,Soaps content fans,We define these users as those who regularly browse Soaps content
Arts & Entertainment - Sport Enthusiasts (R & All Time),2097810,Permutive is 27547,Include,Arts & Entertainment,Regular,All Time,Sport Enthusiasts enthusiasts,We define these users as those who regularly browse Sport content
Arts & Entertainment - The Crown (O & All time),474047,Permutive is 20583,Include,Arts & Entertainment,Occasional,All Time,The Crown content fans,We define these users as those who regularly browse The Crown content
Arts & Entertainment - The Favourite (O & All time),58978,Permutive is 20580,Include,Arts & Entertainment,Occasional,All Time,The Favourite content fans,We define these users as those who regularly browse The Favourite content
Arts & Entertainment - The Oscars Fans (O & All time),430,Permutive is 6882,Include,Arts & Entertainment,Occasional,All Time,The Oscars  content fans,We define these users as those who regularly browse The Oscars content
Arts & Entertainment - The Royal Wedding Fans (O & All time),452355,Permutive is 7086,Include,Arts & Entertainment,Occasional,All Time,The Royal Wedding  content fans,We define these users as those who regularly browse The Royal Wedding content
Arts & Entertainment - The Walking Dead (O & All time),70830,Permutive is 20749,Include,Arts & Entertainment,Occasional,All Time,The Walking Dead content fans,We define these users as those who regularly browse The Walking Dead content
"Arts & Entertainment - Traces (R & All Time) [Lookalike: 58.6% similarity, including seed]",0,Permutive is 98452,Include,Arts & Entertainment,Regular,All Time,Traces content fans,We define these users as those who regularly browse Traces TV showcontent
"Arts & entertainment - True Crime (R & All Time) [Lookalike: 93.3% similarity, including seed]",1109952,Permutive is 123160,Include,Arts & entertainment,Regular,All Time,True Crime content fans,We define these users as thow who regularly browse True Crime TV and Film content across our websites
Arts & Entertainment - TV (O & All time),31990788,Permutive is 6160,Include,Arts & Entertainment,Occasional,All Time,TV content fans,We define these users as those who regularly browse TV content
Arts & Entertainment - TV Listings (O & All time),5980329,Permutive is 6869,Include,Arts & Entertainment,Occasional,All Time,TV Listings content fans,We define these users as those who regularly browse TV Listings content
"Arts & Entertainment - TV/Film Reviewers (R & All Time) [Lookalike: 89.0% similarity, including seed]",771038,Permutive is 56787,Include,Arts & Entertainment,Regular,All Time,TV/Film Reviewers reviewers,We define these users as those who regularly browse TV/film reviews
Arts & Entertainment - UKTV fans (O & All time),23373,Permutive is 7400,Include,Arts & Entertainment,Occasional,All Time,UKTV fans content fans,We define these users as those who regularly browse UKTV content
Arts & Entertainment - Weekend Evening Viewing (O & All time),371023,Permutive is 6501,Include,Arts & Entertainment,Occasional,All Time,Weekend Evening Viewing content fans,We define these users as those who regularly browse Weekend Evening Viewing content
Arts & Entertainment - World Cup (O & All time),291983,Permutive is 7616,Include,Arts & Entertainment,Occasional,All Time,World Cup content fans,We define these users as those who regularly browse World Cup content
Arts & Entertainment - World Cup Listings (O & All time),80027,Permutive is 7634,Include,Arts & Entertainment,Occasional,All Time,World Cup Listings fans,We define these users as those who regularly browse World Cup Listings content
Arts & Entertainment - World War 2 (O & All time),188163,Permutive is 8051,Include,Arts & Entertainment,Occasional,All Time,World War 2 content fans,We define these users as those who regularly browse World War 2 content
Arts & Entertainment -Awards Fans (O & All time),4177575,Permutive is 136573,Include,Arts & Entertainment,Occasional,All Time,Awards  content fans,We define these users as those who occasionally browse Arts & Entertainment Awards content across our websites
Asda shoppers,1938772,AP_x is 14223,Include,Food & Drink,Survey,Survey,Asda shoppers,We define these users as those who prefer to shop at Asda
Auto - 4x4s (O & All time),379130,Permutive is 10327,Include,Auto,Occasional,All Time,4x4s content fans/reviewers,We define these users as those who regularly browse 4x4 content or reviews
Auto - Alfa Romeo (O & All time),106499,Permutive is 10072,Include,Auto,Occasional,All Time,Alfa Romeo content fans/reviewers,We define these users as those who regularly browse Alfa Romeo content or reviews
Auto - Audi (O & All time),2485192,Permutive is 10075,Include,Auto,Occasional,All Time,Audi content fans/reviewers,We define these users as those who regularly browse Audi content or reviews
Auto - Auto Intender (R & 30 Days),777043,Permutive is 12921,Include,Auto,Regular,30 Days,Auto Intender intender,We define these users as those who regularly browse Auto car reviews
Auto - Autonomous (O & All Time),28491,Permutive is 8101,Include,Auto,Occasional,All Time,Autonomous content fans/reviewers,We define these users as those who regularly browse Autonomous content or reviews
Auto - BMW (O & All Time),1117490,Permutive is 6084,Include,Auto,Occasional,All Time,BMW content fans/reviewers,We define these users as those who regularly browse BMW content or reviews
Auto - Car Intenders (O & All time),1121965,Permutive is 10145,Include,Auto,Occasional,All Time,Car Intenders intender,We define these users as those who regularly browse Auto car reviews
Auto - Citroen (O & All Time),1901429,Permutive is 10409,Include,Auto,Occasional,All Time,Citroen content fans/reviewers,We define these users as those who regularly browse Citroen content or reviews
Auto - City-Car (O & All time),613333,Permutive is 10323,Include,Auto,Occasional,All Time,City-Car content fans/reviewers,We define these users as those who regularly browse City-Car content or reviews
Auto - Convertibles (O & All time),491747,Permutive is 10328,Include,Auto,Occasional,All Time,Convertibles content fans/reviewers,We define these users as those who regularly browse Convertible content or reviews
Auto - Coupes (O & All time),485247,Permutive is 10329,Include,Auto,Occasional,All Time,Coupes content fans/reviewers,We define these users as those who regularly browse Coupe content or reviews
Auto - Electric Cars (R & All Time),1464137,Permutive is 31394,Include,Auto,Regular,All Time,Electric Cars content fans/reviewers,We define these users as those who regularly browse Electric Car content or reviews
Auto - Estates (O & All time),551611,Permutive is 10330,Include,Auto,Occasional,All Time,Estates content fans/reviewers,We define these users as those who regularly browse Estate car content or reviews
Auto - Executives (O & All time),1248431,Permutive is 10331,Include,Auto,Occasional,All Time,Executives content fans/reviewers,We define these users as those who regularly browse Executive car content or reviews
Auto - F1 (O & All Time),1094454,Permutive is 13438,Include,Auto,Occasional,All Time,F1 fans,We define these users as those who regularly browse F1 content or reviews
Auto - Family Car Buyers (O & All time),305118,Permutive is 7665,Include,Auto,Occasional,All Time,Family Car Buyers buyers,We define these users as those who regularly browse Family car reviews
Auto - Fiat (O & All Time),1059911,Permutive is 10415,Include,Auto,Occasional,All Time,Fiat content fans/reviewers,We define these users as those who regularly browse Fiat content or reviews
Auto - Ford (O & All Time),579020,Permutive is 6085,Include,Auto,Occasional,All Time,Ford content fans/reviewers,We define these users as those who regularly browse Ford content or reviews
"Auto - Ford Edge (O & All Time) [Lookalike: 82.5% similarity, including seed]",18369,Permutive is 13704,Include,Auto,Occasional,All Time,Ford Edge content fans/reviewers,We define these users as those who regularly browse Ford Edge content or reviews
Auto - Hatchback (O & All time),2255511,Permutive is 10321,Include,Auto,Occasional,All Time,Hatchback content fans/reviewers,We define these users as those who regularly browse Hatchback content or reviews
Auto - Honda (O & All Time),747926,Permutive is 10407,Include,Auto,Occasional,All Time,Honda content fans/reviewers,We define these users as those who regularly browse Honda content or reviews
Auto - Hot Hatches (O & All time),1416649,Permutive is 10332,Include,Auto,Occasional,All Time,Hot Hatches content fans/reviewers,We define these users as those who regularly browse Hot Hatches content or reviews
Auto - Hybrids/EVs/Future (O & All time),1128773,Permutive is 10952,Include,Auto,Occasional,All Time,Hybrids/EVs/Future content fans/reviewers,We define these users as those who regularly browse Hybrids/EVs content or reviews
Auto - Hyundai (O & All Time),240554,Permutive is 10374,Include,Auto,Occasional,All Time,Hyundai content fans/reviewers,We define these users as those who regularly browse Hyundai content or reviews
Auto - Jaguar (O & All Time),2533998,Permutive is 19801,Include,Auto,Occasional,All Time,Jaguar content fans/reviewers,We define these users as those who regularly browse Jaguar content or reviews
Auto - Jeremy Clarkson (R & All Time),44345,Permutive is 72599,Include,Auto,Regular,All Time,Jeremy Clarkson content fans,We define these users as those who regularly browse Jeremy Clarkson content
Auto - Kia (O & All Time),1322806,Permutive is 10372,Include,Auto,Occasional,All Time,Kia content fans/reviewers,We define these users as those who regularly browse Kia content or reviews
Auto - Land Rover (O & All Time),266231,Permutive is 10379,Include,Auto,Occasional,All Time,Land Rover content fans/reviewers,We define these users as those who regularly browse Land Rover content or reviews
Auto - Large SUVs (O & All time),4209053,Permutive is 10333,Include,Auto,Occasional,All Time,Large SUVs content fans/reviewers,We define these users as those who regularly browse Large SUVs content or reviews
Auto - Luxury Cars (O & All time),1745855,Permutive is 10334,Include,Auto,Occasional,All Time,Luxury Cars content fans/reviewers,We define these users as those who regularly browse Luxury Cars content or reviews
Auto - Mazda (O & All Time),176056,Permutive is 10411,Include,Auto,Occasional,All Time,Mazda content fans/reviewers,We define these users as those who regularly browse Mazda content or reviews
Auto - Mercedes-Benz (O & All Time),314293,Permutive is 10362,Include,Auto,Occasional,All Time,Mercedes-Benz content fans/reviewers,We define these users as those who regularly browse Mercedes-Benz content or reviews
Auto - MPVs (O & All time),269913,Permutive is 10326,Include,Auto,Occasional,All Time,MPVs content fans/reviewers,We define these users as those who regularly browse MPVs content or reviews
Auto - Nissan (O & All Time),837194,Permutive is 10368,Include,Auto,Occasional,All Time,Nissan content fans/reviewers,We define these users as those who regularly browse Nissan content or reviews
Auto - Peugeot (O & All Time),1352166,Permutive is 10377,Include,Auto,Occasional,All Time,Peugeot content fans/reviewers,We define these users as those who regularly browse Peugeot content or reviews
Auto - Porsche (R & All Time),207017,Permutive is 7613,Include,Auto,Regular,All Time,Porsche content fans/reviewers,We define these users as those who regularly browse Porsche content or reviews
Auto - Renault (O & All time),441413,Permutive is 9891,Include,Auto,Occasional,All Time,Renault content fans/reviewers,We define these users as those who regularly browse Renault content or reviews
Auto - Saloons (O & All time),7158346,Permutive is 10335,Include,Auto,Occasional,All Time,Saloons content fans/reviewers,We define these users as those who regularly browse Saloons content or reviews
Auto - SEAT (O & All Time),230021,Permutive is 10405,Include,Auto,Occasional,All Time,SEAT content fans/reviewers,We define these users as those who regularly browse SEAT content or reviews
Auto - Skoda (O & All Time),145309,Permutive is 10384,Include,Auto,Occasional,All Time,Skoda content fans/reviewers,We define these users as those who regularly browse Skoda content or reviews
Auto - Small SUV (O & All time),2486086,Permutive is 10322,Include,Auto,Occasional,All Time,Small SUV content fans/reviewers,We define these users as those who regularly browse Small SUV content or reviews
Auto - Sports Cars (O & All time),789756,Permutive is 10336,Include,Auto,Occasional,All Time,Sports Cars enthusiasts,We define these users as those who regularly browse Sports car content
Auto - Supermini (O & All time),729685,Permutive is 10324,Include,Auto,Occasional,All Time,Supermini content fans/reviewers,We define these users as those who regularly browse Supermini content or reviews
Auto - SUV (O & All time),449740,Permutive is 9840,Include,Auto,Occasional,All Time,SUV content fans/reviewers,We define these users as those who regularly browse SUV content or reviews
Auto - Suzuki (O & All time),0,Permutive is 10146,Include,Auto,Occasional,All Time,Suzuki content fans/reviewers,We define these users as those who regularly browse Suzuki content or reviews
Auto - Top Gear Fans (O & All time),1973075,Permutive is 6243,Include,Auto,Occasional,All Time,Top Gear  users,We define these users as those who regularly browse Top Gear content
Auto - Toyota (O & All Time),270469,Permutive is 10370,Include,Auto,Occasional,All Time,Toyota content fans/reviewers,We define these users as those who regularly browse Toyota content or reviews
Auto - Vauxhall (O & All Time),220080,Permutive is 10360,Include,Auto,Occasional,All Time,Vauxhall content fans/reviewers,We define these users as those who regularly browse Vauxhall content or reviews
Auto - Vintage/Classic Cars (O & All Time),2728828,Permutive is 43654,Include,Auto,Occasional,All Time,Vintage/Classic Cars content fans/reviewers,We define these users as those who regularly browse Vintage Classic Cars content or reviews
Auto - Volvo (O & All Time),219296,Permutive is 10413,Include,Auto,Occasional,All Time,Volvo content fans/reviewers,We define these users as those who regularly browse Volvo content or reviews
Auto - VW (O & All Time),910389,Permutive is 10357,Include,Auto,Occasional,All Time,VW content fans/reviewers,We define these users as those who regularly browse VW content or reviews
Auto intenders,1599326,AP_x is 15457,Include,Auto,Survey,Survey,Auto intenders,We define these users as those who intend on purchasing a new car
Auto intenders - £15-30k spenders,3766485,AP_x is 15491,Include,Auto,Survey,Survey,Auto intenders - £15-30k spenders,We define these users as those who plan to spend between £15-30k on a car
Auto intenders - £30-50k spenders,2682988,AP_x is 15492,Include,Auto,Survey,Survey,Auto intenders - £30-50k spenders,We define these users as those who plan to spend between £30-50k on a car
Auto intenders - £50-75k spenders,1044784,AP_x is 15493,Include,Auto,Survey,Survey,Auto intenders - £50-75k spenders,We define these users as those who plan to spend between £50k-75k on a car 
Auto intenders - £5-15k spenders,5702044,AP_x is 15490,Include,Auto,Survey,Survey,Auto intenders - £5-15k spenders,We define these users as those who plan to spend between £5-15k on a car
Auto intenders - £75k+ spenders,242146,AP_x is 15494,Include,Auto,Survey,Survey,Auto intenders - £75k+ spenders,We define these users as those who plan to spend more than £75k on a car
Auto intenders - less than £5k,1220837,AP_x is 15489,Include,Auto,Survey,Survey,Auto intenders - less than £5k,We define these users as those who plan to spend less than £5k on a car
Auto intenders - next 18 months,457073, AP_x is 15424,Include,Auto,Survey,Survey,Auto intenders - next 18 months,We define these users as those who intend on purchasing a new car in the next 18 months
Auto intenders - next 2-3 years,2947574, AP_x is 15425,Include,Auto,Survey,Survey,Auto intenders - next 2-3 years,We define these users as those who intend on purchasing a new car in the next 2-3 years
Auto intenders - next 3 months,391075, AP_x is 15422,Include,Auto,Survey,Survey,Auto intenders - next 3 months,We define these users as those who intend on purchasing a new car in the next 3 months
Auto intenders - next 6 months,725679, AP_x is 15423,Include,Auto,Survey,Survey,Auto intenders - next 6 months,We define these users as those who intend on purchasing a new car in the next 6 months
Bakers - Daily,2677828,AP_x is 15855,Include,Food & Drink,Survey,Survey,Bakers - Daily,We define these users as those who bake more than once a week
Bakers - Monthly,2637444,AP_x is 15857,Include,Food & Drink,Survey,Survey,Bakers - Monthly,We define these users as those who bake 1 to 2 times a month
Bakers - Weekly,1825056,AP_x is 15856,Include,Food & Drink,Survey,Survey,Bakers - Weekly,We define these users as those who bake once a week
Bakers - Yearly,2424433,AP_x is 15858,Include,Food & Drink,Survey,Survey,Bakers - Yearly,We define these users as those who bake 1 to 2 times a year
Ballet enthusiasts,0,AP_x is 16669,Include,Interest,Survey,Survey,Ballet enthusiasts,We define these users as those who enjoy ballet
Bathroom renovation intenders,1171843,AP_x is 15395,Include,Home Renovation,Survey,Survey,Bathroom renovation intenders,We define these users as those who intend on renovating their bathroom
Beach holiday goers,4162326,AP_x is 15142,Include,Holiday intenders,Survey,Survey,Beach holiday goers,We define these users as those who prefer beach holidays
Bedroom renovation intenders,0,AP_x is 15396,Include,Home Renovation,Survey,Survey,Bedroom renovation intenders,We define these users as those who intend on renovating their bathroom
Beer drinkers,1451471,AP_x is 15504,Include,Food & Drink,Survey,Survey,Beer drinkers,We define these users as those who prefer drinking beer
Bike owners - £1-4k,2550065,AP_x is 15841,Include,Sports,Survey,Survey,Bike owners - £1-4k,We define these users as those who own a bike worth £1-4k
