advertiser,campaign_name,campaign_id,category,start_date,impressions,clicks
Tesco,ORD-00290546 _BARTER Tesco Christmas 2024 Digital Campaign,1866821,Supermarket,2024-01-01,2713520,21092
BBC Good Food,Husk,2232713,Food,2026-01-01,2624826,599
Diageo,ORD-00290180_Diageo_Christmas Cocktail Widget_PHD_Oct-Dec24,1888448,Alcohol,2024-01-01,2611724,1274
Morrisons,ORD-00283323_Morrisons_Wavemaker_May-Nov 2024 partnership,1640453,Supermarket,2024-01-01,2600040,921
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,2523592,574
BBC Good Food,GF App House Ads ,2234260,Food,2025-01-01,2523592,574
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2025-01-01,2523592,574
Morrisons,ORD-00292183_Morrisons 2025 partnership_Wavemaker_Feb-Oct25,1940739,Supermarket,2025-01-01,2501135,1244
Morrisons,ORD-00292183_Morrisons 2025 partnership_Wavemaker_Feb-Oct25,1940739,Supermarket,2025-01-01,2500232,2218
Ristorante,ORD-00294283_Ristorante_WM_partnership_July-Sept2025,2069878,Food,2025-01-01,2499760,1194
Sainsburys,ORD-00294588_Sainsbury's x Good Food TTD P2 June-August,2045562,Supermarket,2025-01-01,2472246,28782
Sainsburys,ORD-00293866_Sainsbury's Q2 TTD Campaign 2025,2003631,Supermarket,2025-01-01,2472230,26805
Immediate Media,Amazon XCM - Eclipse Takeover. 20/11/25,2187664,Retail,2025-01-01,2457467,28714
E.ON Smart Energy,ORD-00293708 Direct - Mediaplus_E.ON Next Commodities_Q2_2025,1981579,Tech,2025-01-01,2400909,22934
Aldi,ORD-00289221_Aldi Christmas Digi 2024,1844309,Supermarket,2024-01-01,2381475,29651
Jaguar Landrover,ORD-00292004 Direct - AUV_JLR_H&S_Feb-April 2025,1908230,Motoring,2025-01-01,2371423,2937
Waitrose,PD_Waitrose_Summer-2024_Standard-Banners_17/05-26/08_AT,1775226,Supermarket,2024-01-01,2360383,5769
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2024-01-01,2319885,312
Tesco,ORD-00288310_Tesco Whoosh - September 2024 Campaign,1773458,Supermarket,2024-01-01,2312584,24308
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2026-01-01,2275743,724
National Geographic,PG_Nat_Geo_Publicis_Tsunami_Race Against_Time_November,1896920,Entertainment,2024-01-01,2152212,13116
Centrum,ORD-00291473_Centrum_Spark_Vitamins 2025,1896853,Health,2025-01-01,2140046,965
Nutracheck,Nutracheck,1856812,On-Demand,2024-01-01,2107921,679
Aldi,PG_Aldi_May_2025,1995707,Supermarket,2025-01-01,2053772,21489
Tesco,ORD-00297187_Tesco Christmas 2025,2245164,Food,2025-01-01,2002733,19707
Sky,ORD-00296626 Sky Publishing campaign- The Iris Affair,2151577,Entertainment,2025-01-01,2000013,20957
Ristorante,ORD-00294283_Ristorante_WM_partnership_July-Sept2025,2069878,Food,2025-01-01,1999995,854
Nutracheck,Nutracheck,1856812,On-Demand,2025-01-01,1937911,1353
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2026-01-01,1907370,407
Aldi,ORD-00294289&ORD-00294893_Direct_Aldi Summer Hub_2025,2023846,Supermarket,2025-01-01,1850682,52380
Jaguar Landrover,ORD-00293258_Direct - JLR_Hearts & Science_Octa_Q1,1962013,Motoring,2025-01-01,1793422,981
Jaguar Landrover,ORD-00292004 Direct - AUV_JLR_H&S_Feb-April 2025,1908230,Motoring,2025-01-01,1785660,2675
ORD-00288785_Opportunity Direct - Itsu_Yonder_Product Launch_Sept 2024,ORD-00288785_Opportunity Direct - Itsu_Yonder_Product Launch_Sept 2024,1833125,Food,2024-01-01,1754460,18651
Nutracheck,Nutracheck,1856812,On-Demand,2025-01-01,1752426,1621
Nestle Purina,PG_Nestle_Openmind_Purina Gourmet_05/05/25-29/06/25_RT,2019876,Pets,2025-01-01,1719408,19288
ITV,ORD-00297090_BARTER ITV I'm A Celeb x Immediate Q4 2025,2171070,Supermarket,2025-01-01,1667101,24512
Visit Orlando,ORD-00295890 Visit Orlando Display,2161910,Travel,2025-01-01,1643957,20912
E.ON Smart Energy,ORD-00293708 Direct - Mediaplus_E.ON Next Commodities_Q2_2025,1981579,Tech,2025-01-01,1624442,24094
Nutracheck,Nutracheck,1856812,On-Demand,2024-01-01,1603418,3054
Jaguar Landrover,ORD-00293258_Direct - JLR_Hearts & Science_Octa_Q1,1982913,Motoring,2025-01-01,1600629,939
Waitrose,PG_Waitrose_MGOMD_No1_Oct_LD,2139412,Supermarket,2025-01-01,1593119,15735
Carte D'Or,ORD-00297006 Direct_Digi_Carte D'Or_Q4 2025,2174656,Food,2025-01-01,1553328,11129
ORD-00290307 Microsoft Consumer // Direct // Dentsu // 4th Nov - 17th Jan,ORD-00290307 Microsoft Consumer // Direct // Dentsu // 4th Nov - 17th Jan,1835419,Tech,2024-01-01,1521629,14701
Morrisons,ORD-00292183_Morrisons 2025 partnership_Wavemaker_Feb-Oct25,1940739,Supermarket,2025-01-01,1500085,24589
Kerrygold,ORD-00292017_Kerrygold_PHDManchester_partnership2025,1959016,Food,2025-01-01,1500022,302
Morrisons,ORD-00283323_Morrisons_Wavemaker_May-Nov 2024 partnership,1640453,Supermarket,2024-01-01,1500014,1508
Morrisons,ORD-00283323_Morrisons_Wavemaker_May-Nov 2024 partnership,1640453,Supermarket,2024-01-01,1500003,1142
Aldi,ORD-00299514_Direct_AldiEaster2026,2271794,Supermarket,2026-01-01,1493948,16064
Post Office,ORD-00291044_PostOfficeSavings_TheStoryLab_Sept24-Mar25,1904969,Government,2025-01-01,1480297,657
Ninja,Shark Ninja,1912836,Tech,2024-01-01,1478457,872
Morrisons,ORD-00283323_Morrisons_Wavemaker_May-Nov 2024 partnership,1640453,Supermarket,2024-01-01,1450002,29271
ITV,PG - ITV Red Eye S2 December 2025,2229998,Entertainment,2025-01-01,1409226,16280
Inspired Villages Group Limited,ORD-00284044_Inspired Villages Soap Awards,1701686,Entertainment,2024-01-01,1409004,7544
Post Office,ORD-00291044_PostOfficeSavings_TheStoryLab_Sept24-Mar25,1904969,Government,2025-01-01,1408992,550
Centrum,ORD-00291473_Centrum_Spark_Vitamins 2025,1896853,Health,2025-01-01,1390036,613
Aldi,PG_Aldi_Sept_Olive_GoodFood,2096740,Supermarket,2025-01-01,1388908,12401
Aldi,PG_Aldi_Sept_Oct_Olive_GoodFood,2230444,Supermarket,2025-01-01,1388878,13815
Specsavers ,PG_Specs_MGOMD_OwnedandRun_Oct-Dec_LD,1869417,Health,2024-01-01,1388866,12770
Aldi,PG_Aldi_Sept_Oct_Olive_GoodFood,2230444,Supermarket,2025-01-01,1388856,12404
Aldi,PG_Aldi_Sept_Oct_Olive_GoodFood,2230444,Supermarket,2025-01-01,1388852,15726
Aldi,PG_Aldi_May_2025,1995707,Supermarket,2025-01-01,1388453,14527
Aldi,PG_Aldi July Digi_2025,2052147,Supermarket,2025-01-01,1388236,45364
Aldi,ORD-00288560_Aldi Halloween Digi 2024,1787291,Food,2024-01-01,1338726,13494
HBO Max,ORD-00299155_HBOMAX_Radio_Times_2026,2293143,Entertainment,2026-01-01,1332022,0
Gousto,ORD-00297780_Gousto_brandpartnership_26,2224957,Supermarket,2026-01-01,1329566,7308
Aldi,PG_Aldi Jan_Olive_GoodFood_CMT-Which-Promotion,1877160,Supermarket,2025-01-01,1316851,13983
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,1310159,24738
Spinnaker London,ORD-00291496_European Mushroom_DMPU_MB_GF_JAN'25,1884937,Food,2025-01-01,1300653,1346
European Mushrooms,ORD-00291496_European Mushroom_DMPU_MB_GF_JAN'25,1901949,Food,2025-01-01,1300215,1346
Waitrose,ORD-00293374_Direct_Waitrose_MGOMD_Easter25_LD,1969303,Supermarket,2025-01-01,1295114,20002
Sky,ORD-00296626 Sky Publishing campaign- The Iris Affair,2151577,Entertainment,2025-01-01,1286481,0
Aldi,PG_Aldi July Digi_2025,2052147,Supermarket,2025-01-01,1283164,14190
Red Tractor,PG_RedTractor_7stars_RecipeVideoContent_20thOct-30thNov,2158996,Food,2025-01-01,1243008,4745
Apple,ORD-00291463_Direct_Apple_PrimeTarget_ RT_Jan_LD,1894480,Entertainment,2025-01-01,1239359,19056
Visa, PG_Visa_Q4_2025_Decembe,2216277,Retail,2025-01-01,1229679,10528
Visa,PG_Visa_Q4_2025_December&January,2221526,Retail,2025-01-01,1229644,10529
Arla,ORD-00293208_Arla_Lurpak_Easter_25_Value,1983591,Food,2025-01-01,1222229,7727
Ford,ORD-00294423 & ORD-00294461_Direct_ Digi_Ford Power Promise Part 1,2030355,Motoring,2025-01-01,1221425,12857
Aldi,ORD-00299514_Direct_AldiEaster2026,2271794,Supermarket,2026-01-01,1209119,15420
Morrisons,ORD-00283323_Morrisons_Wavemaker_May-Nov 2024 partnership,1640453,Supermarket,2024-01-01,1200012,11366
Jaguar Landrover,ORD-00292004 Direct - AUV_JLR_H&S_Feb-April 2025,1908230,Motoring,2025-01-01,1200002,711
Stake,ORD-00293834_Playhill Limited - Stake. Canada Geo Campaign,2017913,Gambling,2025-01-01,1199875,11930
Holland & Barrett,ORD-00291348_H&B P3 Nutrition_Skins&MMA_Jan 25,1879540,Health,2025-01-01,1190485,12031
National Geographic,PG_Nat Geo_Zenith_David Blaine_24/03/25,1943612,Entertainment,2025-01-01,1185694,10885
Nestle - Maggi, PG_Nestle_Maggi_ 10/10-31/12_,1823799,Food,2024-01-01,1182883,312
Superdrug,ORD-00298203_Direct_Digi_Superdrug_GoodFood_Jan2026,2232195,Health,2026-01-01,1178597,10567
Specsavers ,PG_Specs_MGOMD_OwnedandRun_Oct-Dec_LD,1869417,Health,2024-01-01,1153797,94
Immediate Media,Good Food HDP- 2024,1672285,Food,2024-01-01,1150092,485
Sky,ORD-00291224_sky screen test Lockerbie,1887190,Entertainment,2024-01-01,1150010,1209
Ristorante,ORD-00294283_Ristorante_WM_partnership_July-Sept2025,2069878,Food,2025-01-01,1150004,16827
Apple,ORD-00297550_Direct_Apple_Iphone_ RT_/NOVDec_LD,2229907,Entertainment,2025-01-01,1137550,588
Jaguar Landrover,ORD-00293797_Direct - JLR_Hearts & Science_RRS_Q2,2003597,Motoring,2025-01-01,1125249,645
TUI,ORD-00288923_TUI_Lanzarote Digi campaign - October 24,1794257,Travel,2024-01-01,1121466,28321
TUI,ORD-00288923_TUI_Lanzarote Digi campaign - October 24,1794257,Travel,2024-01-01,1120615,2760
Avios,PG_Avios_MGOMD_TWC_Q4_LD,2193208,Travel,2025-01-01,1118102,19511
Disney+,PG_Disney_Inside Out 2 D+ Campaign Oct 24,1770302,On-Demand,2024-01-01,1116215,16019
Jaguar Landrover,ORD-00293797_Direct - JLR_Hearts & Science_RRS_Q2,2003597,Motoring,2025-01-01,1115451,1302
Jaguar Landrover,ORD-00293797_Direct - JLR_Hearts & Science_RRS_Q2,2003597,Motoring,2025-01-01,1115434,1252
Aldi,PG_Aldi June Digi_2025,2017650,Supermarket,2025-01-01,1111126,32733
Aldi,PG_Aldi June Digi_2025,2017650,Supermarket,2025-01-01,1111123,11870
Aldi,PG_Aldi_August_2025,2074595,Supermarket,2025-01-01,1111120,10940
Aldi,PG_Aldi_August_2025,2074595,Supermarket,2025-01-01,1111120,34576
Aldi,PG_Aldi_Sept_Oct_Olive_GoodFood,2230444,Supermarket,2025-01-01,1110817,11416
Aldi,PG_Aldi_Sept_Oct_Olive_GoodFood,2230444,Supermarket,2025-01-01,1109081,12514
Nestle - Maggi, PG_Nestle_Maggi_ 10/10-31/12_,1823799,Food,2024-01-01,1100872,3
Diageo,ORD-00290179_Diageo_Whisky Widget_PHD_Jan-June25,1938830,Alcohol,2025-01-01,1094227,3078
Diageo,ORD-00290179_Diageo_Whisky_Widget_PHD_Jan-June25,1953536,Alcohol,2025-01-01,1094227,3078
Barclays,ORD-00289617 _Direct_OMD_Barclays_ATV_RT_Q424_LD,1819663,Government,2024-01-01,1069457,19987
ITV,ORD-00297090_BARTER ITV I'm A Celeb x Immediate Q4 2025,2171070,Supermarket,2025-01-01,1064663,14084
Birds Eye,ORD-00298551_Birds Eye Peas - Zenith - March - April,2277873,Food,2026-01-01,1053175,203
Disney+,Moana 2 2025,1902031,Entertainment,2025-01-01,1016177,17914
Abarth,ORD-00295098_Abarth_600E_Q2_+_Q3_TG,2085940,Motoring,2025-01-01,1015452,11681
Ristorante,ORD-00294283_Ristorante_WM_partnership_July-Sept2025,2069878,Food,2025-01-01,1001246,678
Tesco,ORD-00290546 _BARTER Tesco Christmas 2024 Digital Campaign,1866821,Supermarket,2024-01-01,1000186,3575
Morrisons,ORD-00292183_Morrisons 2025 partnership_Wavemaker_Feb-Oct25,1940739,Supermarket,2025-01-01,1000172,2415
Morrisons,ORD-00292183_Morrisons 2025 partnership_Wavemaker_Feb-Oct25,1940739,Supermarket,2025-01-01,1000104,1303
Not On The High Street,Not On The High Street Xmas 24,1814035,Entertainment,2024-01-01,1000086,1138
Florette,ORD-00292672_Florette_Caratleeds_Partnership_May-July2025,1993798,Food,2025-01-01,1000037,756
Ristorante,ORD-00294283_Ristorante_WM_partnership_July-Sept2025,2069878,Food,2025-01-01,1000026,1517
NOW TV,PG_NOW - The Day of the Jackal. Nov Digi Campaign,1823205,Entertainment,2024-01-01,1000023,16276
Kerrygold,ORD-00292017_Kerrygold_PHDManchester_partnership2025,1959016,Food,2025-01-01,1000019,282
Not On The High Street,Not On The High Street Xmas 24,1814035,Entertainment,2024-01-01,1000010,328
Sky,ORD-00296626 Sky Publishing campaign- The Iris Affair,2151577,Entertainment,2025-01-01,1000003,18584
Princess Cruises ,ORD-00277435_Princess 24 partnership_7 STars_Dec-May,1525755,Travel,2024-01-01,1000001,33953
Sky,ORD-00296626 Sky Publishing campaign- The Iris Affair,2151577,Entertainment,2025-01-01,1000000,962
Ristorante,ORD-00294283_Ristorante_WM_partnership_July-Sept2025,2069878,Food,2025-01-01,999673,1059
Morrisons,ORD-00292183_Morrisons 2025 partnership_Wavemaker_Feb-Oct25,1940739,Supermarket,2025-01-01,999270,23512
Centrum,ORD-00291473_Centrum_Spark_Vitamins 2025,1896853,Health,2025-01-01,999113,11769
The Walt Disney Company,PG_NatGeo_Zenith_Top_Gun_19th_September,2125006,Entertainment,2025-01-01,998021,0
Tesco,ORD-00297187_Tesco Christmas 2025,2245164,Food,2025-01-01,995490,14926
Tesco,ORD-00290546 _BARTER Tesco Christmas 2024 Digital Campaign,1866821,Supermarket,2024-01-01,995014,20300
ITV,ORD-00297090_BARTER ITV I'm A Celeb x Immediate Q4 2025,2171070,Supermarket,2025-01-01,988415,16063
Warner - Tom Kerridge,ORD-00287390_Warner_TomKerridgeShow_Sep,1775134,Entertainment,2024-01-01,985734,9234
Audible,Audible_wavemaker_Comedy_July25,2054149,Entertainment,2025-01-01,983676,5221
Visa,PG_Visa_Q4_2025_December&January,2221526,Retail,2026-01-01,979316,8494
BSskyb,ORD-00295733_Sky X Netflix_Zenith_Partnership_September,2125057,Entertainment,2025-01-01,973464,8490
E.ON,ORD-00291553_E.On Next 2025,1895637,Tech,2025-01-01,952601,9179
E.ON,ORD-00291553_E.On Next 2025,1895637,Tech,2025-01-01,952406,10178
Princess Cruises ,ORD-00277435_Princess 24 partnership_7 STars_Dec-May,1525755,Travel,2024-01-01,950047,21498
Winalot,Winalot 2024_OpenMind_WPP,1647224,Pets,2024-01-01,950003,330
Princess Cruises ,ORD-00277435_Princess 24 partnership_7 STars_Dec-May,1525755,Travel,2024-01-01,947911,15683
Hendricks ,ORD-00294564_Hendrick's Display - June/July 2025,2048762,Alcohol,2025-01-01,945158,1680
Lidl,ORD-00288216_Direct_Lidl AppleandPears_sept24_LD,1768361,Supermarket,2024-01-01,943424,11447
Aldi,ORD-00295386_Direct_Aldi_August_Digi_2025,2080311,Supermarket,2025-01-01,929403,22912
Twix,PG_Twixmas_Amex_Dec 2025_Immediate,2206036,Food,2025-01-01,926850,21307
Specsavers ,PG_Specs_MGOMD_OwnedandRun_Oct-Dec_LD,1869417,Health,2024-01-01,925886,17553
Nestle Purina,PG_Nestle_Openmind_Purina Gourmet_05/05/25-29/06/25_RT,2019876,Pets,2025-01-01,923094,0
Post Office,ORD-00291044_PostOfficeSavings_TheStoryLab_Sept24-Mar25,1904969,Government,2025-01-01,914242,1927
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2025-01-01,906186,167
Lidl,ORD-00288216_Direct_Lidl AppleandPears_sept24_LD (Correct),1761875,Supermarket,2024-01-01,905713,10982
BSskyb,ORD-00295733_Sky X Netflix_Zenith_Partnership_September,2125057,Entertainment,2025-01-01,904315,7042
Tesco,ORD-00290546 _BARTER Tesco Christmas 2024 Digital Campaign,1866821,Supermarket,2024-01-01,901033,9458
Hendricks ,ORD-00294564_Hendrick's Display - June/July 2025,2048762,Alcohol,2025-01-01,895153,19951
ORD-00288785_Opportunity Direct - Itsu_Yonder_Product Launch_Sept 2024,ORD-00288785_Opportunity Direct - Itsu_Yonder_Product Launch_Sept 2024,1833125,Food,2024-01-01,894170,12662
Merchant Gourmet,ORD-00291231_Merchant Gourmet_Yonder_Good Food_January 2025,1895723,Food,2025-01-01,884625,1511
Eco Manure,"ORD-00293368/ORD-00293759_Eco Manure_HP, Solus, Social, Comp & Display",2048752,Gardening,2025-01-01,881720,1636
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,880255,9581
Nutracheck,Nutracheck,1856812,On-Demand,2024-01-01,878452,468
Sky,ORD-00296626 Sky Publishing campaign- The Iris Affair,2151577,Entertainment,2025-01-01,872125,7399
Apple,ORD-00288525_Direct_Apple_MGOMD_RT_Wolfs_Sept_LD,1768307,Entertainment,2024-01-01,868596,7722
Aviva,PG_Aviva_Health_RON_20/05,2053912,Health,2025-01-01,868093,8920
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,850038,8960
Apple,ORD-00286576_Direct_Apple_MGOMD_RT_TheInstigators_LD,1725540,Entertainment,2024-01-01,837993,7533
Kerrygold,ORD-00290861 Kerrygold_PHD Man_Q4 2024,1869178,Food,2024-01-01,833573,906
Turtle Wax,PG_Turtle WaxUK_26PMX_SkinMMA_TG_JunAug25,2047684,Motoring,2025-01-01,833459,391
Sainsburys,ORD-00293866_Sainsbury's Q2 TTD Campaign 2025,2003631,Supermarket,2025-01-01,833334,16156
Disney+,Moana 2 2025,1902031,Entertainment,2025-01-01,821671,9352
Nestle Purina,PG_Nestle_Openmind_Purina Gourmet_05/05/25-29/06/25_RT,2019876,Pets,2025-01-01,818421,314
Aldi,PG_Aldi_December_Olive_GoodFood,2245377,Supermarket,2025-01-01,804602,11009
Ristorante,ORD-00294283_Ristorante_WM_partnership_July-Sept2025,2069878,Food,2025-01-01,800020,14262
Ristorante,ORD-00294283_Ristorante_WM_partnership_July-Sept2025,2069878,Food,2025-01-01,800005,17953
Florette,ORD-00292672_Florette_Caratleeds_Partnership_May-July2025,1993798,Food,2025-01-01,799919,17282
Apple,ORD-00290414_Direct_Apple_Blitz RT_Nov-Dec-LD,1869361,Entertainment,2024-01-01,793403,7240
Sainsburys,ORD-00294588_Sainsbury's x Good Food TTD P2 June-August,2045562,Supermarket,2025-01-01,789811,15836
Tesco,ORD-00296514_Tesco Food Is Everything Oct 2025,2167250,Supermarket,2025-01-01,778560,7467
Carte D'Or,ORD-00297006 Direct_Digi_Carte D'Or_Q4 2025,2174656,Food,2025-01-01,778007,4726
Alpen,ORD-00277683_Alpen_GetMeMedia_Nov-Sept,1601248,Food,2024-01-01,774093,651
bet365,ORD-00291479_bet365 H1 2025,1900569,Gambling,2025-01-01,770563,1180
Fortnum and Mason, PG_F&M Xmas25_26PMX_IMAudHigh Impact_GF_V2,2175953,Retail,2025-01-01,769735,8422
Aldi,Aldi_Christmas_25,2175479,Food,2025-01-01,768634,297
BBC Good Food,Magazine-Subscription-GF-Christmas-Issue,2230055,Food,2025-01-01,768634,297
HBO Max,ORD-00299155_HBOMAX_Radio_Times_2026,2293143,Entertainment,2026-01-01,760562,8028
Diageo,ORD-00290179_Diageo_Whisky_Widget_PHD_Jan-June25,1953536,Alcohol,2025-01-01,759912,39
Diageo,ORD-00290179_Diageo_Whisky Widget_PHD_Jan-June25,1938830,Alcohol,2025-01-01,759912,39
Waitrose,ORD-00290352_Direct_Waitrose_MGOMD_Christmas_Masthead_November/Dec_24_LD,1908287,Supermarket,2024-01-01,755584,11010
Waitrose,PG_Waitrose_MGOMD_Christmas_November/Dec_24_LD,1854565,Supermarket,2024-01-01,755584,11009
Carte D'Or,ORD-00297006 Direct_Digi_Carte D'Or_Q4 2025,2174656,Food,2025-01-01,750054,560
NOW TV,PG_NOW - The Day of the Jackal. Nov Digi Campaign,1823205,Entertainment,2024-01-01,750006,7793
Princess Cruises ,ORD-00277435_Princess 24 partnership_7 STars_Dec-May,1525755,Travel,2024-01-01,750005,1067
Finish,ORD-00285482 & ORD-00285447_Finish_Zenith_Q3,1696536,Food,2024-01-01,750001,324
Princess Cruises ,ORD-00277435_Princess 24 partnership_7 STars_Dec-May,1525755,Travel,2024-01-01,750000,17203
Diageo,Diageo_JohnnieWalkerBlack_Sep-Dec (Native),1817891,Alcohol,2024-01-01,744475,10236
Waitrose,PG_Waitrose_MGOMD_Christmas_November/Dec_24_LD,1854565,Supermarket,2024-01-01,740587,13856
Lidl,ORD-00292527_Direct_Lidl_Fresh_FebMarch25_LD,1981602,Food,2025-01-01,738154,6646
Morrisons,ORD-00283323_Morrisons_Wavemaker_May-Nov 2024 partnership,1640453,Supermarket,2024-01-01,728913,4492
Abarth,ORD-00293456_Abarth 600E_Q2_TG,1974081,Motoring,2025-01-01,715797,6585
Renault,ORD-00296021_Direct_Renault_MGOMD_R4_TG_Sept_LD,2130221,Motoring,2025-01-01,715613,6983
Kerrygold,ORD-00290861 Kerrygold_PHD Man_Q4 2024,1869178,Food,2024-01-01,714309,23527
Aldi,Aldi_Christmas_25,2175479,Supermarket,2025-01-01,713761,10353
Visit Orlando,ORD-00295890 Visit Orlando Display,2161910,Travel,2025-01-01,709586,9047
Renault,ORD-00296433_Renault_MGOMD_Renault 4_September-October25,2162513,Motoring,2025-01-01,705777,979
Carte D'Or,PG_Digi_Carte D'Or_Q2,1616515,Food,2024-01-01,703844,7010
Warner Brothers,ORD-00292957 Warner_MinecraftMovie_Mar-Apr,1946107,Entertainment,2025-01-01,702517,2023
Carte D'Or,PG_Digi_Carte D'Or_Q2,1616515,Food,2024-01-01,701779,7193
Spinnaker London,ORD-00291496_European Mushroom_DMPU_MB_GF_JAN'25,1884937,Food,2025-01-01,700094,247
shell,ORD-00294734_Shell F1 x Top Gear 2025,2071034,On-Demand,2025-01-01,700018,1135
Princess Cruises ,ORD-00277435_Princess 24 partnership_7 STars_Dec-May,1525755,Travel,2024-01-01,700012,1041
European Mushrooms,ORD-00291496_European Mushroom_DMPU_MB_GF_JAN'25,1901949,Food,2025-01-01,700006,241
Disney+,PG_Disney_Inside Out 2 D+ Campaign Oct 24,1770302,On-Demand,2024-01-01,699207,11233
Carte D'Or,ORD-00297006 Direct_Digi_Carte D'Or_Q4 2025,2174656,Food,2025-01-01,697108,3336
Kerrygold,ORD-00292017_Kerrygold_PHDManchester_partnership2025,1959016,Food,2025-01-01,697073,6404
Inspired Villages Group Limited,ORD-00284044_Inspired Villages Soap Awards,1701686,Entertainment,2024-01-01,694448,1149
Inspired Villages Group Limited,ORD-00284044_Inspired Villages Soap Awards,1701686,Entertainment,2024-01-01,694444,615
Carte D'Or,ORD-00297006 Direct_Digi_Carte D'Or_Q4 2025,2174656,Food,2025-01-01,691290,1049
Dacia,ORD-00295503_Direct_Dacia_MGOMD_TG_Aug_LD,2089459,Motoring,2025-01-01,690570,7134
ITV,ORD-00297090_BARTER ITV I'm A Celeb x Immediate Q4 2025,2171070,Supermarket,2025-01-01,689875,3813
TUI,ORD-00286345 _TUI_Marella Cruise digi campaign - Aug/Sep 2024,1716978,Travel,2024-01-01,686369,7091
Sainsburys,ORD-00294588_Sainsbury's x Good Food TTD P2 June-August,2045562,Supermarket,2025-01-01,685767,8399
