segment_name,platform,reach,category,description,plain_english,code,frequency,window,icon_key
Gravel/Adventure Fans,Permutive,95051,Sports,This is a segment of users who have browsed for gravel/adventure content at least 2 times at any point in time.,Regularly browses gravel/adventure content,38271,R,All Time,sports
"Omega 3, 6, 9 Fans",Permutive,171202,Food & Drink,"This is a segment of users who have browsed for omega 3, 6, 9 content at least 2 times in the last 90 days.","Regularly browses omega 3, 6, 9 content",136259,R,90 Days,food-drink
Animation Fans,Permutive,109026,Arts & Entertainment,This is a segment of users who have browsed for animation content at least 2 times in the last 90 days.,Regularly browses animation content,146153,R,90 Days,arts-entertainment
Big Batch Cooking -Food & Drink -Analytics-Food Cuisine Fans,Permutive,15086,Uncategorised,This is a segment of users who have browsed for big batch cooking -food & drink -analytics-food cuisine content at any point in time.,Browses big batch cooking -food & drink -analytics-food cuisine content,15333,,,uncategorised
Vegan Fans,Permutive,221985,Food & Drink,This is a segment of users who have browsed for vegan content at least 2 times at any point in time.,Regularly browses vegan content,10106,R,All Time,food-drink
Netflix Fans,Permutive,158871,Arts & Entertainment,This is a segment of users who have browsed for netflix content at least 2 times at any point in time.,Regularly browses netflix content,19802,R,All Time,arts-entertainment
Music streaming fan,Permutive,123782,Arts & Entertainment,This is a segment of users who have browsed for music streaming fan content at least 2 times in the last 90 days.,Regularly browses music streaming fan content,187192,R,90 Days,arts-entertainment
Summer Meal Planners Fans,Permutive,327023,Food & Drink,This is a segment of users who have browsed for summer meal planners content at least 2 times at any point in time.,Regularly browses summer meal planners content,7568,R,All Time,food-drink
Dairy Free Fans,Permutive,24800,Food & Drink,This is a segment of users who have browsed for dairy free content at least 2 times at any point in time.,Regularly browses dairy free content,55912,R,All Time,food-drink
Helmet Fans,Permutive,593,Sports,This is a segment of users who have browsed for helmet content at least once at any point in time.,Occasionally browses helmet content,6178,O,All Time,sports
Golf 1P Fans,Permutive,64497,Uncategorised,This is a segment of users who have browsed for golf content at least once at any point in time.,Occasionally browses golf content,27600,O,All Time,uncategorised
Arts & Entertainment -Awards Fans,Permutive,588238,Uncategorised,This is a segment of users who have browsed for arts & entertainment -awards content at least 2 times at any point in time.,Regularly browses arts & entertainment -awards content,136572,R,All Time,uncategorised
Tour de France Lookalike,Permutive,472134,Sports,This is a lookalike segment based on the 'Tour de France Fans' seed segment.,Regularly browses related content,183581,R,All Time,sports
The Crown Fans,Permutive,13300,Arts & Entertainment,This is a segment of users who have browsed for the crown content at least 2 times at any point in time.,Regularly browses the crown content,23263,R,All Time,arts-entertainment
Parents Fans,Permutive,696990,Parenting,This is a segment of users who have browsed for parents content at least 2 times at any point in time.,Regularly browses parents content,7550,R,All Time,parenting
Caribbean Fans,Permutive,5563,Food & Drink,This is a segment of users who have browsed for caribbean content at least 2 times at any point in time.,Regularly browses caribbean content,22133,R,All Time,food-drink
Dark Comedy Fans Lookalike,Permutive,546833,Arts & Entertainment,This is a lookalike segment based on the 'Dark Comedy Fans' seed segment.,Occasionally browses related content,203240,O,All Time,arts-entertainment
Theatre lovers 1P Fans,Permutive,43085,Arts & Entertainment,This is a segment of users who have browsed for theatre lovers 1p content at any point in time.,Browses theatre lovers 1p content,35474,,,arts-entertainment
Linear TV Fans,Permutive,666558,Arts & Entertainment,This is a segment of users who have browsed for linear tv content at least 2 times at any point in time.,Regularly browses linear tv content,183944,R,All Time,arts-entertainment
Chips Fans,Permutive,175724,Food & Drink,This is a segment of users who have browsed for chips content at least 2 times at any point in time.,Regularly browses chips content,165188,R,All Time,food-drink
Frozen Fans,Permutive,750004,Arts & Entertainment,This is a segment of users who have browsed for frozen content at least 2 times at any point in time.,Regularly browses frozen content,28383,R,All Time,arts-entertainment
Korean Cuisine Fans,Permutive,41268,Immediate,This is a segment of users who have browsed for korean cuisine content at least 5 times in the last 90 days.,Frequently browses korean cuisine content,20682,F,90 Days,immediate
Coffee Fans,Permutive,777533,Food & Drinks,This is a segment of users who have browsed for coffee content at least once at any point in time.,Occasionally browses coffee content,259936,O,All Time,food-drinks
Football world cup 2022 Fans,Permutive,92,Sports,This is a segment of users who have browsed for football world cup 2022 content at least 2 times at any point in time.,Regularly browses football world cup 2022 content,130253,R,All Time,sports
Ford Car Reviewers Fans,Permutive,12623,Auto,This is a segment of users who have browsed for ford car reviewers content at least once in the last 90 days.,Occasionally browses ford car reviewers content,241613,O,90 Days,auto
Table Sauces Lookalike,Permutive,1481289,Food & Drink,This is a lookalike segment based on the 'Table Sauces Fans' seed segment.,Occasionally browses related content,218717,O,90 Days,food-drink
Suzuki Fans,Permutive,18926,Auto,This is a segment of users who have browsed for suzuki content at least once at any point in time.,Occasionally browses suzuki content,10146,O,All Time,auto
Bristol specialist brands Fans,Permutive,9551,Uncategorised,This is a segment of users who have browsed for bristol specialist brands content at least once at any point in time.,Occasionally browses bristol specialist brands content,79331,O,All Time,uncategorised
Easter Fans,Permutive,126882,Food & Drink,This is a segment of users who have browsed for easter content at least 2 times in the last 90 days.,Regularly browses easter content,6174,R,90 Days,food-drink
Good Food Nutrition Fans,Permutive,377,Food & Drink,This is a segment of users who have browsed for good food nutrition content at least 2 times in the last 90 days.,Regularly browses good food nutrition content,240074,R,90 Days,food-drink
Good Health Protein Fans,Permutive,2511,GF,This is a segment of users who have browsed for good health protein content at any point in time.,Browses good health protein content,246164,,,gf
Outlander Fans,Permutive,16122,Arts & Entertainment,This is a segment of users who have browsed for outlander content at least 2 times at any point in time.,Regularly browses outlander content,141933,R,All Time,arts-entertainment
True Crime Fans,Permutive,38674,Arts & Entertainment,This is a segment of users who have browsed for true crime content at least 2 times at any point in time.,Regularly browses true crime content,123009,R,All Time,arts-entertainment
Upcoming Games section visitors RT Fans,Permutive,38033,Gaming,This is a segment of users who have browsed for upcoming games section visitors rt content at least once at any point in time.,Occasionally browses upcoming games section visitors rt content,194270,O,All Time,gaming
Forza Horizon Franchise Fans,Permutive,5859,Gaming,This is a segment of users who have browsed for forza horizon franchise content at least once at any point in time.,Occasionally browses forza horizon franchise content,207006,O,All Time,gaming
Alternative Christmas Fans,Permutive,25864,Food & Drink,This is a segment of users who have browsed for alternative christmas content at least 2 times at any point in time.,Regularly browses alternative christmas content,163566,R,All Time,food-drink
Chevrolet Fans,Permutive,3824,Auto,This is a segment of users who have browsed for chevrolet content at least 2 times at any point in time.,Regularly browses chevrolet content,22172,R,All Time,auto
Role Playing Games Lookalike,Permutive,202618,Gaming,This is a lookalike segment based on the 'Role Playing Games Fans' seed segment.,Occasionally browses related content,208350,O,All Time,gaming
Messy Ingredients Recipes Fans,Permutive,447322,Food & Drink,This is a segment of users who have browsed for messy ingredients recipes content at least 2 times in the last 90 days.,Regularly browses messy ingredients recipes content,187622,R,90 Days,food-drink
Hyundai Fans,Permutive,30010,Auto,This is a segment of users who have browsed for hyundai content at least once at any point in time.,Occasionally browses hyundai content,10374,O,All Time,auto
Tequila Fans,Permutive,9248,Food & Drink,This is a segment of users who have browsed for tequila content at any point in time.,Browses tequila content,248967,,,food-drink
Sims Franchise Fans Lookalike,Permutive,664182,Gaming,This is a lookalike segment based on the 'Sims Franchise Fans' seed segment.,Regularly browses related content,121991,R,All Time,gaming
East Midlands Geolocation,Permutive,432731,Geo targeting,This is a segment of users who accessed our content from an East Midlands geolocation in the last 30 days.,Occasionally browses related content,187241,O,30 Days,geo-targeting
Sky bundle platforms content Fans,Permutive,360286,Arts & Entertainment,This is a segment of users who have browsed for sky bundle platforms content content at least once at any point in time.,Browses sky bundle platforms content,272147,,,arts-entertainment
Sonic the Hedgehog Franchise Fans - Crossover,Permutive,628,Gaming,This is a segment of users who have browsed for sonic the hedgehog franchise - crossover content at least once at any point in time.,Occasionally browses sonic the hedgehog franchise - crossover content,206993,O,All Time,gaming
Low Salt Fans,Permutive,16388,Food & Drink,This is a segment of users who have browsed for low salt content at least 2 times at any point in time.,Regularly browses low salt content,22030,R,All Time,food-drink
Soup Fans,Permutive,650935,Food & Drink,This is a segment of users who have browsed for soup content at least 2 times in the last 90 days.,Regularly browses soup content,136234,R,90 Days,food-drink
Olive Enthusiasts Fans,Permutive,96715,Food & Drink,This is a segment of users who have browsed for olive enthusiasts content at least once at any point in time.,Occasionally browses olive enthusiasts content,10677,O,All Time,food-drink
Sport Enthusiasts Fans,Permutive,583545,Arts & Entertainment,This is a segment of users who have browsed for sport enthusiasts content at least 2 times at any point in time.,Regularly browses sport enthusiasts content,27547,R,All Time,arts-entertainment
Ambient Ingredients Fans,Permutive,997764,Food & Drink,This is a segment of users who have browsed for ambient ingredients content at least once at any point in time.,Occasionally browses ambient ingredients content,265426,O,All Time,food-drink
Slimming Fans,Permutive,37321,Food & Drink,This is a segment of users who have browsed for slimming content at any point in time.,Browses slimming content,20952,,,food-drink
Consoles Fans Lookalike,Permutive,142093,Gaming,This is a lookalike segment based on the 'Consoles Fans' seed segment.,Frequently browses related content,218335,F,90 Days,gaming
Gravel Bikes Fans,Permutive,5307,Sports,This is a segment of users who have browsed for gravel bikes content at least once at any point in time.,Occasionally browses gravel bikes content,9711,O,All Time,sports
Good Food Weight Loss Fans Lookalike,Permutive,375929,Food & Drink,This is a lookalike segment based on the 'Good Food Weight Loss Fans' seed segment.,Regularly browses related content,240297,R,90 Days,food-drink
Star Wars Fans,Permutive,35786,Arts & Entertainment,This is a segment of users who have browsed for star wars content at least 2 times at any point in time.,Regularly browses star wars content,25641,R,All Time,arts-entertainment
Tea Fans,Permutive,2079409,Food & Drink,This is a segment of users who have browsed for tea content at least 2 times in the last 90 days.,Regularly browses tea content,136240,R,90 Days,food-drink
Ireland Fans,Permutive,615400,Geo-targeting,This is a segment o fusers who accessed our content from an Ireland geolocation at any point in time.,Browses related content,188587,,,geo-targeting
Manchester Geolocation,Permutive,410428,Geo targeting,This is a segment o fusers who accessed our content from a Manchester geolocation in the last 30 days.,Occasionally browses related content,185965,O,30 Days,geo-targeting
Easy & Health Conscious Foodies Fans,Permutive,2148619,Food & Drink,This is a segment of users who have browsed for easy & health conscious foodies content at least 2 times at any point in time.,Regularly browses easy & health conscious foodies content,41708,R,All Time,food-drink
Valentines Fans,Permutive,25364,Food & Drink,This is a segment of users who have browsed for valentines content at least 2 times at any point in time.,Regularly browses valentines content,12349,R,All Time,food-drink
BBQs Fans,Permutive,359751,Food & Drink,This is a segment of users who have browsed for bbqs content at least 2 times at any point in time.,Regularly browses bbqs content,6611,R,All Time,food-drink
Spring Meal Planners Fans,Permutive,251222,Food & Drink,This is a segment of users who have browsed for spring meal planners content at least 2 times at any point in time.,Regularly browses spring meal planners content,7567,R,All Time,food-drink
Kingdom Come: Deliverance Fans,Permutive,4003,Gaming,This is a segment of users who have browsed for kingdom come: deliverance content at least once at any point in time.,Occasionally browses kingdom come: deliverance content,206663,O,All Time,gaming
Smoothie Fans,Permutive,51545,Food & Drink,This is a segment of users who have browsed for smoothie content at least 2 times at any point in time.,Regularly browses smoothie content,7644,R,All Time,food-drink
Lunch Fans,Permutive,3808435,Food & Drink,This is a segment of users who have browsed for lunch content at any point in time.,Browses lunch content,243650,,,food-drink
7 a day Fans,Permutive,11,Food & Drink,This is a segment of users who have browsed for 7 a day content at least 2 times at any point in time.,Regularly browses 7 a day content,8454,R,All Time,food-drink
High Fibre Dieters Fans,Permutive,1790622,Food & Drink,This is a segment of users who have browsed for high fibre dieters content at least 2 times at any point in time.,Regularly browses high fibre dieters content,26897,R,All Time,food-drink
Celebrity/Reality Fans,Permutive,254912,Arts & Entertainment,This is a segment of users who have browsed for celebrity/reality content at least 2 times at any point in time.,Regularly browses celebrity/reality content,7751,R,All Time,arts-entertainment
Reviewers Fans,Permutive,175520,Food & Drink,This is a segment of users who have browsed for reviewers content at least 2 times in the last 90 days.,Regularly browses reviewers content,149219,R,90 Days,food-drink
Breakfast Fans,Permutive,1827039,Food & Drink,This is a segment of users who have browsed for breakfast content at least 2 times at any point in time.,Regularly browses breakfast content,47330,R,All Time,food-drink
Tinned Tomatoes Fans,Permutive,876213,Food & Drink,This is a segment of users who have browsed for tinned tomatoes content at least 2 times at any point in time.,Regularly browses tinned tomatoes content,7783,R,All Time,food-drink
Classic-recipes-minus-meat Fans,Permutive,550,Food & Drink,This is a segment of users who have browsed for classic-recipes-minus-meat content at least once at any point in time.,Occasionally browses classic-recipes-minus-meat content,8605,O,All Time,food-drink
Road Biking Fans,Permutive,211796,Sports,This is a segment of users who have browsed for road biking content at least 2 times at any point in time.,Regularly browses road biking content,8129,R,All Time,sports
Racing Games Lookalike,Permutive,203848,Gaming,This is a lookalike segment based on the 'Racing Games Fans' seed segment.,Occasionally browses related content,198226,O,All Time,gaming
Disney Fans,Permutive,79684,Arts & Entertainment,This is a segment of users who have browsed for disney content at least 2 times at any point in time.,Regularly browses disney content,22299,R,All Time,arts-entertainment
Beans and Pulses Fans,Permutive,1852613,Food & Drink,This is a segment of users who have browsed for beans and pulses content at least once at any point in time.,Occasionally browses beans and pulses content,246550,O,All Time,food-drink
Talk Talk Users Fans,Permutive,444895,Internet Service Provider,This is a segment of users who have browsed for talk talk users content at least once in the last 30 days.,Occasionally browses talk talk users content,164437,O,30 Days,internet-service-provider
Christmas Films Fans,Permutive,1421956,Arts & Entertainment,This is a segment of users who have browsed for christmas films content at least 2 times at any point in time.,Regularly browses christmas films content,86977,R,All Time,arts-entertainment
Watches Lookalike,Permutive,100449,Interest,This is a lookalike segment based on the 'Watches Fans' seed segment.,Regularly browses related content,106569,R,All Time,interest
Renault Fans,Permutive,74939,Auto,This is a segment of users who have browsed for renault content at least 2 times at any point in time.,Regularly browses renault content,10386,R,All Time,auto
Vitamins Fans,Permutive,32670,Food & Drink,This is a segment of users who have browsed for vitamins content at least 2 times in the last 30 days.,Regularly browses vitamins content,136050,R,30 Days,food-drink
Grand Tour Fans,Permutive,9848,Auto,This is a segment of users who have browsed for grand tour content at least 2 times at any point in time.,Regularly browses grand tour content,72600,R,All Time,auto
Vinegar Fans,Permutive,581233,Food & Drink,This is a segment of users who have browsed for vinegar content at least 2 times in the last 90 days.,Regularly browses vinegar content,165070,R,90 Days,food-drink
Audible & Podcast fans,Permutive,32911,Arts & Entertainment,This is a segment of users who have browsed for audible & podcast fans content at least 2 times at any point in time.,Regularly browses audible & podcast fans content,32225,R,All Time,arts-entertainment
Brunch Fans,Permutive,325291,Food & Drink,This is a segment of users who have browsed for brunch content at least 2 times at any point in time.,Regularly browses brunch content,19675,R,All Time,food-drink
Fortnite franchise Fans,Permutive,20424,Gaming,This is a segment of users who have browsed for fortnite franchise content at least once at any point in time.,Occasionally browses fortnite franchise content,194285,O,All Time,gaming
Swindon Geolocation,Permutive,36042,Geo targeting,This is a segment ofusers who accessed our content from a Swindon geolocation in the last 30 days.,Occasionally browses related content,212522,O,30 Days,geo-targeting
Historical TV show viewers on RT who have visited HE Fans,Permutive,230,Uncategorised,This is a segment of users who have browsed for historical tv show viewers on rt who have visited he content at any point in time.,Browses historical tv show viewers on rt who have visited he content,27594,,,uncategorised
Sustainable gardeners Fans,Permutive,75576,Gardening,This is a segment of users who have browsed for sustainable gardeners content at least 2 times at any point in time.,Regularly browses sustainable gardeners content,148812,R,All Time,gardening
Gardening for beginners Fans,Permutive,1361,Gardening,This is a segment of users who have browsed for gardening for beginners content at least 2 times at any point in time.,Regularly browses gardening for beginners content,60843,R,All Time,gardening
French Fans,Permutive,417869,Food & Drink,This is a segment of users who have browsed for french content at least 2 times at any point in time.,Regularly browses french content,22135,R,All Time,food-drink
Rum Fans,Permutive,1144190,Food & Drink,This is a segment of users who have browsed for rum content at least 2 times at any point in time.,Regularly browses rum content,22293,R,All Time,food-drink
Comfort Food/Slow Food Fans,Permutive,1281195,Food & Drink,This is a segment of users who have browsed for comfort food/slow food content at least 2 times at any point in time.,Regularly browses comfort food/slow food content,117595,R,All Time,food-drink
Period Drama Fans,Permutive,88449,Arts & Entertainment,This is a segment of users who have browsed for period drama content at least 2 times at any point in time.,Regularly browses period drama content,10353,R,All Time,arts-entertainment
Air Fryer Fans,Permutive,165879,Food & Drink,This is a segment of users who have browsed for air fryer content at least 2 times in the last 90 days.,Regularly browses air fryer content,135220,R,90 Days,food-drink
Drama Fans,Permutive,551256,Arts & Entertainment,This is a segment of users who have browsed for drama content at least 5 times at any point in time.,Frequently browses drama content,61303,F,All Time,arts-entertainment
I'm a Celeb Fans,Permutive,49843,Arts & Entertainment,This is a segment of users who have browsed for i'm a celeb content at least 2 times at any point in time.,Regularly browses i'm a celeb content,21777,R,All Time,arts-entertainment
Virgin Media Fans,Permutive,3186,Sky conquesting,This is a segment of users who have browsed for virgin media content at any point in time.,Browses virgin media content,177138,,,sky-conquesting
Snackers Fans,Permutive,1671446,Food & Drink,This is a segment of users who have browsed for snackers content at least 2 times at any point in time.,Regularly browses snackers content,6668,R,All Time,food-drink
Wildlife Fans,Permutive,39294,Interest,This is a segment of users who have browsed for wildlife content at least once at any point in time.,Occasionally browses wildlife content,12643,O,All Time,interest
Cricket Fans,Permutive,23044,Arts & Entertainment,This is a segment of users who have browsed for cricket content at least once at any point in time.,Occasionally browses cricket content,27598,O,All Time,arts-entertainment
Supportive parents Fans,Permutive,109975,Parenting,This is a segment of users who have browsed for supportive parents content at least 2 times in the last 90 days.,Regularly browses supportive parents content,120697,R,90 Days,parenting
Kids TV Fans,Permutive,715271,Arts & Entertainments,This is a segment of users who have browsed for kids tv content at least 2 times at any point in time.,Regularly browses kids tv content,61305,R,All Time,arts-entertainments
Cycle Commuters Fans,Permutive,1060939,Sports,This is a segment of users who have browsed for cycle commuters content at least 2 times at any point in time.,Regularly browses cycle commuters content,38279,R,All Time,sports
80s TV Show Super Fans,Permutive,1319271,Arts & Entertainment,This is a segment of users who have browsed for 80s tv show super content at least once at any point in time.,Browses 80s tv show super content,28375,,,arts-entertainment
Coupes Fans,Permutive,26761,Auto,This is a segment of users who have browsed for coupes content at least 2 times at any point in time.,Regularly browses coupes content,10294,R,All Time,auto
Minecraft franchise Fans,Permutive,3890,Gaming,This is a segment of users who have browsed for minecraft franchise content at least once at any point in time.,Occasionally browses minecraft franchise content,194355,O,All Time,gaming
Chicken Fans,Permutive,1586857,Food & Drink,This is a segment of users who have browsed for chicken content at least 2 times in the last 90 days.,Regularly browses chicken content,147958,R,90 Days,food-drink
The Bear Fans Lookalike,Permutive,296915,Arts & Entertainment,This is a lookalike segment based on the 'The Bear Fans' seed segment.,Browses related content,268171,,,arts-entertainment
Engineering Documentaries Fans Lookalike,Permutive,2193540,Arts & Entertainment,This is a lookalike segment based on the 'Engineering Documentaries Fans' seed segment.,Occasionally browses related content,202141,O,All Time,arts-entertainment
Bonfire Night Fans,Permutive,61263,Seasonal,This is a segment of users who have browsed for bonfire night content at least 2 times in the last 90 days.,Regularly browses bonfire night content,22065,R,90 Days,seasonal
GoodFood Irish Fans,Permutive,200246,Food & Drink,This is a segment of users who have browsed for goodfood irish content at least 5 times at any point in time.,Frequently browses goodfood irish content,66593,F,All Time,food-drink
Foodies Fans,Permutive,6412615,Food & Drink,This is a segment of users who have browsed for foodies content at least 2 times at any point in time.,Regularly browses foodies content,6893,R,All Time,food-drink
Soil and Compost Lookalike,Permutive,391300,Gardening,This is a lookalike segment based on the 'Soil and Compost Fans' seed segment.,Occasionally browses related content,220591,O,All Time,gardening
Vintage/Classic Cars Fans,Permutive,356966,Auto,This is a segment of users who have browsed for vintage/classic cars content at least 2 times at any point in time.,Regularly browses vintage/classic cars content,43656,R,All Time,auto
Kia Fans,Permutive,151605,Auto,This is a segment of users who have browsed for kia content at least 2 times at any point in time.,Regularly browses kia content,10373,R,All Time,auto
On Demand & Listings Fans,Permutive,55,Arts & Entertainment,This is a segment of users who have browsed for on demand & listings content at least 2 times at any point in time.,Regularly browses on demand & listings content,6868,R,All Time,arts-entertainment
Gone Fishing Fans,Permutive,13651,Arts & Entertainment,This is a segment of users who have browsed for gone fishing content at least once at any point in time.,Occasionally browses gone fishing content,14307,O,All Time,arts-entertainment
Electric Cars Fans,Permutive,244729,Auto,This is a segment of users who have browsed for electric cars content at least 2 times at any point in time.,Regularly browses electric cars content,31394,R,All Time,auto
RadioTimes.com TV Listings Viewer Fans,Permutive,695018,Uncategorised,This is a segment of users who have browsed for radiotimes.com tv listings viewer content at any point in time.,Browses radiotimes.com tv listings viewer content,16361,,,uncategorised
Babies in Household Fans,Permutive,163314,Parenting,This is a segment of users who have browsed for babies in household content at least 2 times at any point in time.,Regularly browses babies in household content,10828,R,All Time,parenting
Warfare Fans,Permutive,749019,Interest,This is a segment of users who have browsed for warfare content at least 2 times at any point in time.,Regularly browses warfare content,183509,R,All Time,interest
Pregnancy Fans,Permutive,97915,Parenting,This is a segment of users who have browsed for pregnancy content at least 2 times at any point in time.,Regularly browses pregnancy content,35536,R,All Time,parenting
Virtual Reality Lookalike,Permutive,161999,Interest,This is a lookalike segment based on the 'Virtual Reality Fans' seed segment.,Regularly browses related content,122815,R,All Time,interest
Meals for One Fans,Permutive,139671,Food & Drink,This is a segment of users who have browsed for meals for one content at least 2 times at any point in time.,Regularly browses meals for one content,22145,R,All Time,food-drink
Sky Fans,Permutive,7240,Arts & Entertainment,This is a segment of users who have browsed for sky content at least once at any point in time.,Occasionally browses sky content,8314,O,All Time,arts-entertainment
Black Friday / Cyber Week Shoppers Fans,Permutive,1782190,ATRIA,This is a segment of users who have browsed for black friday / cyber week shoppers content at any point in time.,Browses black friday / cyber week shoppers content,252163,,,atria
Low Calories Fans,Permutive,52738,Food & Drink,This is a segment of users who have browsed for low calories content at least 2 times at any point in time.,Regularly browses low calories content,6970,R,All Time,food-drink
Land Rover Fans,Permutive,68450,Auto,This is a segment of users who have browsed for land rover content at least 2 times at any point in time.,Regularly browses land rover content,10380,R,All Time,auto
Honey Baking Recipes Fans,Permutive,519036,Food & Drink,This is a segment of users who have browsed for honey baking recipes content at least once at any point in time.,Occasionally browses honey baking recipes content,233987,O,All Time,food-drink
BBC GF Cook Smart Fans,Permutive,1450519,Food & Drink,This is a segment of users who have browsed for bbc gf cook smart content at least 2 times in the last 90 days.,Regularly browses bbc gf cook smart content,139651,R,90 Days,food-drink
